Fred,Mileage,Mileage in period,Elapsed days,Average Daily Mileage,Average Annual Mileage,Projected Mileage @ 20/12/2023,Weekly Allowance,Week remaining
20/12/2019,0,,,,,,,
04/03/2020,3142,3142,75,41.89333333,15291,61164,,208
09/03/2020,3315,173,80,41.4375,15125,60499,94,207
16/03/2020,3446,131,87,39.6091954,14457,57829,106,206
23/03/2020,3612,166,94,38.42553191,14025,56101,114,205
30/03/2020,3627,15,101,35.91089109,13107,52430,132,204
06/04/2020,3751,124,108,34.73148148,12677,50708,140,203
13/04/2020,3780,29,115,32.86956522,11997,47990,153,202
20/04/2020,3841,61,122,31.48360656,11492,45966,163,201
27/04/2020,3841,0,129,29.7751938,10868,43472,175,200
04/05/2020,3873,32,136,28.47794118,10394,41578,184,199
11/05/2020,3893,20,143,27.22377622,9937,39747,194,198
18/05/2020,3916,23,150,26.10666667,9529,38116,202,197
25/05/2020,3923,7,157,24.98726115,9120,36481,210,196
01/06/2020,4015,92,164,24.48170732,8936,35743,214,195
08/06/2020,4100,85,171,23.97660819,8751,35006,218,194
15/06/2020,4274,174,178,24.01123596,8764,35056,218,193
22/06/2020,4383,109,185,23.69189189,8648,34590,220,192
29/06/2020,4533,150,192,23.609375,8617,34470,221,191
06/07/2020,4671,138,199,23.47236181,8567,34270,222,190
13/07/2020,4974,303,206,24.14563107,8813,35253,217,189
20/07/2020,5031,57,213,23.61971831,8621,34485,221,188
27/07/2020,5056,25,220,22.98181818,8388,33553,227,187
03/08/2020,5056,0,227,22.27312775,8130,32519,232,186
10/08/2020,5056,0,234,21.60683761,7886,31546,238,185
17/08/2020,5125,69,241,21.26556017,7762,31048,241,184
24/08/2020,5290,165,248,21.33064516,7786,31143,240,183
31/08/2020,5349,59,255,20.97647059,7656,30626,244,182
07/09/2020,5410,61,262,20.64885496,7537,30147,246,181
14/09/2020,5522,112,269,20.52788104,7493,29971,248,180
21/09/2020,5683,161,276,20.59057971,7516,30062,248,179
28/09/2020,5821,138,283,20.56890459,7508,30031,248,178
05/10/2020,5854,33,290,20.1862069,7368,29472,251,177
12/10/2020,5966,112,297,20.08754209,7332,29328,253,176
19/10/2020,6316,350,304,20.77631579,7583,30333,247,175
26/10/2020,6402,86,311,20.585209,7514,30054,249,174
02/11/2020,6515,113,318,20.48742138,7478,29912,250,173
09/11/2020,6533,18,325,20.10153846,7337,29348,254,172
16/11/2020,,,332,0,0,0,425,171
23/11/2020,,,339,0,0,0,426,170
30/11/2020,,,346,0,0,0,428,169
07/12/2020,,,353,0,0,0,429,168
14/12/2020,,,360,0,0,0,430,167
21/12/2020,,,367,0,0,0,432,166